raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 13 128 GB,39000,Used,"Dhaka, Elephant Road",23 hours ago,https://bikroy.com/elephant-road/mobile-phones/apple-iphone-13-128-gb-rsBusyMhfHXhKL9J6lmPaYoT.html,3,2026-09-02T05:08:49.925408+00:00,individual,"Welcome to Trade Together.
We offer wholesale pricing even if you buy just one piece. If you are a shopkeeper, you will get a special discount.
Warranty Policy: 7-day replacement facility (excluding touch-display and physical condition).
Additionally, a three-month servicing warranty (excluding parts).
Address: Motaleb Plaza, Shop: 600/V
Call 019XXXXXXXX"
New Apple iPhone X 256 GB Black,20500,Brand New,"Dhaka, Jatrabari",1 day ago,https://bikroy.com/jatrabari/mobile-phones/new-apple-iphone-x-256-gb-black-Ckj0OKGrV0hiwcLtzDIAGKV3.html,4,2026-09-02T05:09:11.168536+00:00,individual,"All okay no issue
Imported from Dubai
Storage 256 GB
Face id ✅
Display✅
True tone✅
Front Camera✅
Back Camera ✅
Battery ✅
Only real buyer inbox"
Apple iPhone 15 256 GB Blue,85000,Used,"Chattogram, CDA Avenue",05/08,https://bikroy.com/cda-avenue/mobile-phones/apple-iphone-15-256-gb-blue-rAHU16adujb9l0l1TTvzmyCr.html,3,2026-09-02T05:09:14.018182+00:00,individual,"The phone was used only for taking pictures, otherwise it stays in the room at home. I use Android so this is not used, it is only used when taking pictures or occasionally checking Facebook. Thank you"
Apple iPhone 14 Pro Max 128 GB Purple,59000,Used,"Rajshahi, Nawdapara",2 days ago,https://bikroy.com/nawdapara/mobile-phones/apple-iphone-14-pro-max-128-gb-purple-84zpHG9PTVYhlxMpTrfEa5JB.html,4,2026-09-02T05:09:16.217564+00:00,individual,"Face id 
Display change ( True tone )
Box + cash memo available 
Bh 76% (charge onk valo thake original Battery)
Price akdom fixed"
Samsung Galaxy S25 Ultra 256 GB Gray,92000,Used,"Dhaka, Uttara",06/08,https://bikroy.com/uttara/mobile-phones/samsung-galaxy-s25-ultra-256-gb-gray-oItrrq8MJg1s8rTJupIcBiHF.html,5,2026-09-02T05:09:18.365430+00:00,individual,"Samsung Galaxy S25 Ultra (Unofficial) 
There are no issues with the phone at all.
Completely fresh and smooth condition.
Display, camera, battery, and all features work 100% properly.
No history of repair.
Personal use phone.
You can check and test it before buying.
Reason for Sale: Selling for personal needs.
Price: Reasonable offers are acceptable."
Samsung Galaxy A54 5G 128 GB Green,18000,Used,"Rajshahi, Kazla",11/08,https://bikroy.com/kazla/mobile-phones/samsung-galaxy-a54-5g-128-gb-green-BIRGegwcdjARLE3BJPBkq1Qu.html,3,2026-09-02T05:09:20.581300+00:00,individual,Samsung A54 for sale. Full fresh condition. Used almost 1 year. Phone's display ok. Protector is just broken. Asking price 18k. Bargaining option available. Contact 019XXXXXXXX
Xiaomi Civi 4 Pro 512 GB Blue,36000,Used,"Dhaka, Dhanmondi",2 hours ago,https://bikroy.com/dhanmondi/mobile-phones/xiaomi-civi-4-pro-512-gb-blue-daZQhMw4sDL7xcEm3hxZXPAl.html,5,2026-09-02T05:09:22.876496+00:00,individual,"🌷🌷Welcome to""Mobile Store ""🌷🌷

আামাদের ঠিকানাঃ-

Mobile Store

Shop number -408(level 4)

Dhanmondi 32 Sukrabad bus stand
Phone number 017XXXXXXXX 018XXXXXXXX"
Xiaomi 17 Pro 512 GB White,80000,Used,"Dhaka, Mohammadpur",5 hours ago,https://bikroy.com/mohammadpur/mobile-phones/xiaomi-17-pro-512-gb-white-k1cExZCvY6uSwVMBjnNjvv14.html,3,2026-09-02T05:09:23.028718+00:00,individual,"Name:Xiaomi 17 pro (Chinese)
 Color: White 
 Storage:16-512GB
  Used like new
  Without Box 
With charger and Cable 
Price:-Call for best price 
Used Mobile: 3Days replacement & 6months service warrenty or New mobile: 7days replacement & 1year service warrenty included  
Contact number 018XXXXXXXX"
Samsung Galaxy S21 FE 5G 128 GB Gray,18000,Used,"Rajshahi, Shaheb Bazar",16/08,https://bikroy.com/shaheb-bazar/mobile-phones/samsung-galaxy-s21-fe-5g-128-gb-gray-U8R84gN8sECS5n7Z6giiGkn.html,5,2026-09-02T05:09:23.532243+00:00,individual,"Selling urgently due to needing money.
1. Display replaced due to green line issue. Market original display installed, fingerprint works with very good quality.
2. Everything else is original.
3. Phone has 1% problem. No scratches.
4. Price is slightly negotiable upon discussion.
5. Don't waste time quoting ridiculous prices. Contact quickly if you want to buy."
Samsung Galaxy A34 5G 128 GB Green,19000,Used,"Rajshahi, Kazla",26/08,https://bikroy.com/kazla/mobile-phones/samsung-galaxy-a34-5g-128-gb-green-4WECbbC6zf8NVIwvKo6Y4xKE.html,3,2026-09-02T05:09:24.159948+00:00,individual,ফোনে কোনো ধরনের দাগ বা সমস্যা নাই আমার নিজের ব্যাবহার করা চাপাই থেকে নেওয়া হয়েছে সাথে কিছু নেই এনআইডি কার্ড দেওয়া জাবে দাম কিছু টা কমানো জাবে
Xiaomi Redmi K90 256 GB Red,49999,Used,"Dhaka, Motalib Plaza",23 hours ago,https://bikroy.com/motalib-laza/mobile-phones/xiaomi-redmi-k90-256-gb-red-3nXbCwNU7U9BbXQufIP8PHEC.html,5,2026-09-02T05:09:24.667301+00:00,individual,"Wholesale & Retail 
Redmi K90 12/256GB (Active)
BH-100%

Mobile, Box & Charger (বক্স, চার্জার পেতে সময় লাগতে পারে ৫/৭ দিন) 

Address: Hridoy Communication, 2nd Floor, Shop no: 338"
Samsung Galaxy S22 Ultra 256 GB Bronze,24000,Used,"Chattogram, Kotwali, Chattogram",28/08,https://bikroy.com/kotwali/mobile-phones/samsung-galaxy-s22-ultra-256-gb-bronze-yvmldRCYmYr7UKvT1VEsPOx9.html,3,2026-09-02T05:09:24.916965+00:00,individual,"Samsung  s22 ultra bergundi colour, 3ta green line asce,konorokom dag,spot kiccu nai,like showroom condition,box,cashnemo ase,female calaise"
Samsung Galaxy S24 FE 256 GB Green,41990,Used,"Chattogram, CDA Avenue",23 hours ago,https://bikroy.com/cda-avenue/mobile-phones/samsung-galaxy-s24-fe-256-gb-green-ndqYZArJqC3sCbjohh9M4aHv.html,3,2026-09-02T05:09:26.183294+00:00,individual,"📱 Samsung Galaxy S25 FE

✨ Experience Like-New Quality | Fully Fresh Condition

⚡ 8GB RAM | 256GB Storage | 📸 Flagship Camera | ✨ Premium Design

🛡️ Enjoy 15-Day Replacement Guarantee | Lifetime Service Warranty

📍Finlay Square, Level-4, Shop-406, 2 No Gate, Nasirabad, Chattogram"
Samsung Galaxy S22 Ultra 256 GB Bronze,42000,Used,"Chattogram, Patenga",1 day ago,https://bikroy.com/patenga/mobile-phones/samsung-galaxy-s22-ultra-256-gb-bronze-zjyDYBfR3y5ZVYxFShWMSYrb.html,5,2026-09-02T05:09:26.979922+00:00,individual,Samsung s22 ultra.12/256gb.Batry 5000mah.Samsung er flagship phon. All parts genuine & authentin.Camra panirmoto clear.Full box.Dekta kubi gorgius & Elegent.Nila nita paren
Samsung Galaxy S25 Ultra 256 GB Black,87000,Used,"Dhaka, Jatrabari",13/08,https://bikroy.com/jatrabari/mobile-phones/samsung-galaxy-s25-ultra-256-gb-black-wQmllSW7JC2QIgbyrICQMklO.html,5,2026-09-02T05:09:27.767325+00:00,individual,"Full fresh conditions, purchased in February. Warranty claim has not been made yet."
New Samsung Galaxy S25 Ultra 512 GB Gray,92000,Brand New,"Dhaka, Badda",26/08,https://bikroy.com/badda/mobile-phones/new-samsung-galaxy-s25-ultra-512-gb-gray-BohZdMHISuI2RRD02cL4sv4Q.html,5,2026-09-02T05:09:28.325398+00:00,individual,This device is an Indian variant. Brought directly from India. You can come and check it thoroughly as much as you like and however you want. Thank you.
Samsung Galaxy S10 Plus 128 GB Green,25000,Used,"Dhaka, Uttara",29/08,https://bikroy.com/uttara/mobile-phones/samsung-galaxy-s10-plus-128-gb-green-wcGu1bukCwlqakORfEk9qgcg.html,5,2026-09-02T05:09:29.025498+00:00,individual,"Brought with me from abroad, no fault in the phone. Never worked on, fully intact. 
Need upgrade so selling this unit. 
No box available, just a complete phone and charger will be given. 
Location: Uttara , sector 5."
Samsung Galaxy A56 128 GB Black,37999,Used,"Dhaka, Jatrabari",2 hours ago,https://bikroy.com/jatrabari/mobile-phones/samsung-galaxy-a56-128-gb-black-8PLjeMZqWomiq7Z6AxfsWRAq.html,3,2026-09-02T05:09:29.720280+00:00,individual,"Full box
8/128 gb
Jatrabari
Shahid Farooq Road
Taj Super Market 2nd floor
Usmaan Gadget"
Samsung Galaxy A35 128 GB White,24000,Used,"Dhaka, Savar",17/08,https://bikroy.com/savar/mobile-phones/samsung-galaxy-a35-128-gb-white-6gC9ftYN30pLyRAeIuUUnJAJ.html,3,2026-09-02T05:09:30.114799+00:00,individual,"Savar Thana Stand Katlapur Mosque alongside shop
Bismillah Telecom
RAM... 8gb
ROM... 128
Cash Memo
1 year Warranty
Full ok... New Condition.
Price Fixed"
